ID	Language_ID	Source	Parameter_ID	NumberValue	Value	Form	Comment_contributor	Loan	Gloss	Comment_glosser	Alternate_gloss
numerals-baka1274-1-forty-1	numerals-baka1274-1	Chan2019	forty	40	cí ɛ̀ ɡ͡bʀ͡ʙɛ̀	ciegbrbe	( 20 x 2 )	FALSE	20·2		
numerals-baka1274-1-fifty-1	numerals-baka1274-1	Chan2019	fifty	50	cí ɛ̀ ɡ͡bʀ͡ʙɛ̀ dɔ̀à sɔ̀kɔ́	ciegbrbedoasoko		FALSE	(20·2)+{LIG}10		
numerals-baka1274-1-sixty-1	numerals-baka1274-1	Chan2019	sixty	60	cí ɛ̀ ɔ̀tà	cieota	( 20 x 3 )	FALSE	20·3		
numerals-baka1274-1-seventy-1	numerals-baka1274-1	Chan2019	seventy	70	cí ɛ̀ ɔ̀tà dɔ̀à sɔ̀kɔ́	cieotadoasoko		FALSE	(20·3)+{LIG}10		
numerals-baka1274-1-eighty-1	numerals-baka1274-1	Chan2019	eighty	80	cí ɛ̀ ɛ̀sɔ̀	cieeso	( 20 x 4 )	FALSE	20·4		
numerals-baka1274-1-ninety-1	numerals-baka1274-1	Chan2019	ninety	90	cí ɛ̀ ɛ̀sɔ̀ dɔ̀à sɔ̀kɔ́	cieesodoasoko		FALSE	(20·4)+{LIG}10		
numerals-baka1274-1-hundred-1	numerals-baka1274-1	Chan2019	hundred	100	cí ɛ̀ ɛ̀sɔ̀	cieeso	( 20 x 5 )	FALSE	20·5		
ID	Language_ID	Source	Parameter_ID	NumberValue	Value	Form	Comment_contributor	Loan	Gloss	Comment_glosser	Alternate_gloss
numerals-bedj1245-1-one-1	numerals-bedj1245-1	Chan2019	one	1	káre	kare		FALSE	1		
numerals-bedj1245-1-two-1	numerals-bedj1245-1	Chan2019	two	2	ɟó	jo		FALSE	2		
numerals-bedj1245-1-three-1	numerals-bedj1245-1	Chan2019	three	3	mɨ̀té	mite		FALSE	3		
numerals-bedj1245-1-four-1	numerals-bedj1245-1	Chan2019	four	4	sɔ́ː	so		FALSE	4		
numerals-bedj1245-1-five-1	numerals-bedj1245-1	Chan2019	five	5	mḭ́ː	mi		FALSE	5		
numerals-bedj1245-1-six-1	numerals-bedj1245-1	Chan2019	six	6	mɛ̰hɛ	mehe		FALSE	6		
numerals-bedj1245-1-seven-1	numerals-bedj1245-1	Chan2019	seven	7	sɨrí	siri		FALSE	7		
numerals-bedj1245-1-eight-1	numerals-bedj1245-1	Chan2019	eight	8	ɟiɟó	jijo	( 10 -2)	FALSE	10’-2		
numerals-bedj1245-1-nine-1	numerals-bedj1245-1	Chan2019	nine	9	ɟikáre	jikare	( 10 -1 )	FALSE	10’-1		
numerals-bedj1245-1-ten-1	numerals-bedj1245-1	Chan2019	ten	10	dɔ̀ɡɨ	dogi		FALSE	10		
numerals-bedj1245-1-eleven-1	numerals-bedj1245-1	Chan2019	eleven	11	dɔ̀ɡɨ̀ɡɨ̀dé káre	dogigidekare		FALSE	10+{LIG}1		
numerals-bedj1245-1-twelve-1	numerals-bedj1245-1	Chan2019	twelve	12	dɔ̀ɡɨ̀ɡɨ̀dé ɟó	dogigidejo		FALSE	10+{LIG}2		
numerals-bedj1245-1-thirteen-1	numerals-bedj1245-1	Chan2019	thirteen	13	dɔ̀ɡɨ̀ɡɨ̀dé mɨ̀té	dogigidemite		FALSE	10+{LIG}3		
numerals-bedj1245-1-fourteen-1	numerals-bedj1245-1	Chan2019	fourteen	14	dɔ̀ɡɨ̀ɡɨ̀dé sɔ́ː	dogigideso		FALSE	10+{LIG}4		
numerals-bedj1245-1-fifteen-1	numerals-bedj1245-1	Chan2019	fifteen	15	dɔ̀ɡɨ̀ɡɨ̀dé mḭ́ː	dogigidemi		FALSE	10+{LIG}5		
numerals-bedj1245-1-sixteen-1	numerals-bedj1245-1	Chan2019	sixteen	16	dɔ̀ɡɨ̀ɡɨ̀dé mɛ̰hɛ	dogigidemehe		FALSE	10+{LIG}6		
numerals-bedj1245-1-seventeen-1	numerals-bedj1245-1	Chan2019	seventeen	17	dɔ̀ɡɨ̀ɡɨ̀dé sɨrí	dogigidesiri		FALSE	10+{LIG}7		
numerals-bedj1245-1-eighteen-1	numerals-bedj1245-1	Chan2019	eighteen	18	dɔ̀ɡɨ̀ɡɨ̀dé ɟiɟó	dogigidejijo		FALSE	10+{LIG}10’-2		
numerals-bedj1245-1-nineteen-1	numerals-bedj1245-1	Chan2019	nineteen	19	dɔ̀ɡɨ̀ɡɨ̀dé ɟikáre	dogigidejikare		FALSE	10+{LIG}10’-1		
