"","X","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss","Glosser","Gloss.clean","Gloss.math","Gloss.calc","Math.well.defined","Math.check","Does.math.work","Gloss.math.with.ones"
"42597",49,"numerals-hara1271-1-eighty-3","numerals-hara1271-1","Chan2019","eighty",80,"tamaːniːn","tamanin",NA,"TRUE","8′⋅[10]{PL}","decades 30-90 are possibly borrowed “from nearby dominant language”","80","RE-GLOSSED","8′⋅[10]","8⋅10","abs(8*10)",1,80,TRUE,"8⋅10"
"42598",50,"numerals-hara1271-1-ninety-1","numerals-hara1271-1","Chan2019","ninety",90,"ziħtana","zihtana",NA,"FALSE","9⋅10′","10′ is the diachronic dual marker",NA,"RE-GLOSSED","9⋅10′","9⋅10","abs(9*10)",1,90,TRUE,"9⋅10"
"42599",51,"numerals-hara1271-1-ninety-2","numerals-hara1271-1","Chan2019","ninety",90,"tisʼiːna","tisina",NA,"TRUE","9′⋅[10]{PL}{?}","decades 30-90 are possibly borrowed “from nearby dominant language”","90","RE-GLOSSED","9′⋅[10]","9⋅10","abs(9*10)",1,90,TRUE,"9⋅10"
"42600",52,"numerals-hara1271-1-ninety-3","numerals-hara1271-1","Chan2019","ninety",90,"tisʼiːn","tisin",NA,"TRUE","9′⋅[10]{PL}","decades 30-90 are possibly borrowed “from nearby dominant language”","90","RE-GLOSSED","9′⋅[10]","9⋅10","abs(9*10)",1,90,TRUE,"9⋅10"
"42601",53,"numerals-hara1271-1-hundred-1","numerals-hara1271-1","Chan2019","hundred",100,"baklaː","bakla",NA,"FALSE","100",NA,NA,"RE-GLOSSED","100","100","100",1,100,TRUE,"100"
"42602",54,"numerals-hara1271-1-twohundred-1","numerals-hara1271-1","Chan2019","twohundred",200,"baklaː koːt","baklakot",NA,"FALSE","100[⋅]2",NA,NA,"RE-GLOSSED","100[⋅]2","100⋅2","abs(100*2)",1,200,TRUE,"100⋅2"
"42603",55,"numerals-hara1271-1-thousand-1","numerals-hara1271-1","Chan2019","thousand",1000,"kum","kum",NA,"FALSE","1000","possibly borrowed from Somali (Afro-Asiatic)?",NA,"RE-GLOSSED","1000","1000","1000",1,1000,TRUE,"1000"
"42604",56,"numerals-hara1271-1-thousand-2","numerals-hara1271-1","Chan2019","thousand",1000,"alfi","alfi",NA,"TRUE","1000′","possibly borrowed, maybe from Arabic (Afro-Asiatic)?",NA,"RE-GLOSSED","1000′","1000","1000",1,1000,TRUE,"1000"
"42605",57,"numerals-hara1271-1-thousand-3","numerals-hara1271-1","Chan2019","thousand",1000,"alfa","alfa",NA,"TRUE","1000′","possibly borrowed, maybe from Arabic (Afro-Asiatic)?",NA,"RE-GLOSSED","1000′","1000","1000",1,1000,TRUE,"1000"
"42606",58,"numerals-hara1271-1-twothousand-1","numerals-hara1271-1","Chan2019","twothousand",2000,"alfi koːt","alfikot",NA,"FALSE","1000′[⋅]2","alfi is possibly borrowed, maybe from Arabic (Afro-Asiatic)?",NA,"RE-GLOSSED","1000′[⋅]2","1000⋅2","abs(1000*2)",1,2000,TRUE,"1000⋅2"
"42607",1,"numerals-hars1241-1-one-1","numerals-hars1241-1","Chan2019","one",1,"tʼɑːd","tad","(masculine)","FALSE","1{M}",NA,NA,"RE-GLOSSED","1","1","1",1,1,TRUE,"1"
"42608",2,"numerals-hars1241-1-one-2","numerals-hars1241-1","Chan2019","one",1,"tʼɑd","tad","(feminene)","FALSE","1{F}",NA,NA,"RE-GLOSSED","1","1","1",1,1,TRUE,"1"
"42609",3,"numerals-hars1241-1-two-1","numerals-hars1241-1","Chan2019","two",2,"θruh","thruh","(masc)","FALSE","2{M}",NA,NA,"RE-GLOSSED","2","2","2",1,2,TRUE,"2"
"42610",4,"numerals-hars1241-1-two-2","numerals-hars1241-1","Chan2019","two",2,"θɑrt","thart","(fem)","FALSE","2{F}",NA,NA,"RE-GLOSSED","2","2","2",1,2,TRUE,"2"
"42611",5,"numerals-hars1241-1-three-1","numerals-hars1241-1","Chan2019","three",3,"ɬɑ:fɑjt","lafajt","(masc)","FALSE","3{M}",NA,NA,"RE-GLOSSED","3","3","3",1,3,TRUE,"3"
"42612",6,"numerals-hars1241-1-three-2","numerals-hars1241-1","Chan2019","three",3,"ɬɑliːt","lalit","(fem.)","FALSE","3{F}",NA,NA,"RE-GLOSSED","3","3","3",1,3,TRUE,"3"
"42613",7,"numerals-hars1241-1-four-1","numerals-hars1241-1","Chan2019","four",4,"ʔɑrboːt","arbot","(masc)","FALSE","4{M}",NA,NA,"RE-GLOSSED","4","4","4",1,4,TRUE,"4"
"42614",8,"numerals-hars1241-1-four-2","numerals-hars1241-1","Chan2019","four",4,"ʔorbɑ","orba","(fem)","FALSE","4{F}",NA,NA,"RE-GLOSSED","4","4","4",1,4,TRUE,"4"
"42615",9,"numerals-hars1241-1-five-1","numerals-hars1241-1","Chan2019","five",5,"xummuh","xummuh","(masc)","FALSE","5{M}",NA,NA,"RE-GLOSSED","5","5","5",1,5,TRUE,"5"
"42616",10,"numerals-hars1241-1-five-2","numerals-hars1241-1","Chan2019","five",5,"xɑjmɑ","xajma","(fem)","FALSE","5{F}",NA,NA,"RE-GLOSSED","5","5","5",1,5,TRUE,"5"
"42617",11,"numerals-hars1241-1-six-1","numerals-hars1241-1","Chan2019","six",6,"jitːiːt","jitit","(masc)","FALSE","6{M}",NA,NA,"RE-GLOSSED","6","6","6",1,6,TRUE,"6"
"42618",12,"numerals-hars1241-1-six-2","numerals-hars1241-1","Chan2019","six",6,"hɑt","hat","(fem)","FALSE","6{F}",NA,NA,"RE-GLOSSED","6","6","6",1,6,TRUE,"6"
"42619",13,"numerals-hars1241-1-seven-1","numerals-hars1241-1","Chan2019","seven",7,"hbɑjt","hbajt","(masc)","FALSE","7{M}",NA,NA,"RE-GLOSSED","7","7","7",1,7,TRUE,"7"
"42620",14,"numerals-hars1241-1-seven-2","numerals-hars1241-1","Chan2019","seven",7,"hoːbɑ","hoba","(fem)","FALSE","7{F}",NA,NA,"RE-GLOSSED","7","7","7",1,7,TRUE,"7"
"42621",15,"numerals-hars1241-1-eight-1","numerals-hars1241-1","Chan2019","eight",8,"θɑmɑneːt","thamanet","(masc)","FALSE","8{M}",NA,NA,"RE-GLOSSED","8","8","8",1,8,TRUE,"8"
"42622",16,"numerals-hars1241-1-eight-2","numerals-hars1241-1","Chan2019","eight",8,"θɑmoːniː","thamoni","(fem)","FALSE","8{F}",NA,NA,"RE-GLOSSED","8","8","8",1,8,TRUE,"8"
"42623",17,"numerals-hars1241-1-nine-1","numerals-hars1241-1","Chan2019","nine",9,"sˤɑːʕeːt","saet","(masc)","FALSE","9{M}",NA,NA,"RE-GLOSSED","9","9","9",1,9,TRUE,"9"
"42624",18,"numerals-hars1241-1-nine-2","numerals-hars1241-1","Chan2019","nine",9,"sɑʔ","sa","(fem)","FALSE","9{F}",NA,NA,"RE-GLOSSED","9","9","9",1,9,TRUE,"9"
"42625",19,"numerals-hars1241-1-ten-1","numerals-hars1241-1","Chan2019","ten",10,"ʔɑɬareːt","alaret","(masc)","FALSE","10{M}",NA,NA,"RE-GLOSSED","10","10","10",1,10,TRUE,"10"
"42626",20,"numerals-hars1241-1-ten-2","numerals-hars1241-1","Chan2019","ten",10,"ʔoːɬɑr","olar","(fem)","FALSE","10{F}",NA,NA,"RE-GLOSSED","10","10","10",1,10,TRUE,"10"
"42627",21,"numerals-hars1241-1-eleven-1","numerals-hars1241-1","Chan2019","eleven",11,"ħidʕaʃir","hidasir","","FALSE","1′+10′","borrowed from Arabic (Afro-Asiatic) or code-switching",NA,"RE-GLOSSED","1′+10′","1+10","1+10",1,11,TRUE,"1+10"
"42628",22,"numerals-hars1241-1-eleven-2","numerals-hars1241-1","Chan2019","eleven",11,"ħidʕaːʃ","hidas","( < Arabic)","TRUE","1′+10′","borrowed from Arabic (Afro-Asiatic)",NA,"RE-GLOSSED","1′+10′","1+10","1+10",1,11,TRUE,"1+10"
"42629",23,"numerals-hars1241-1-twelve-1","numerals-hars1241-1","Chan2019","twelve",12,"ʔiθnaʕaʃir","ithnaasir","","TRUE","2′+10′","borrowed from Arabic (Afro-Asiatic)",NA,"RE-GLOSSED","2′+10′","2+10","2+10",1,12,TRUE,"2+10"
"42630",24,"numerals-hars1241-1-twelve-2","numerals-hars1241-1","Chan2019","twelve",12,"ʔiθnʕaːʃ","ithnas","","TRUE","2′+10′","borrowed from Arabic (Afro-Asiatic)",NA,"RE-GLOSSED","2′+10′","2+10","2+10",1,12,TRUE,"2+10"
"42631",25,"numerals-hars1241-1-thirteen-1","numerals-hars1241-1","Chan2019","thirteen",13,"θalaːθʕaʃir","thalathasir","","TRUE","3′+10′","borrowed from Arabic (Afro-Asiatic)",NA,"RE-GLOSSED","3′+10′","3+10","3+10",1,13,TRUE,"3+10"
"42632",26,"numerals-hars1241-1-thirteen-2","numerals-hars1241-1","Chan2019","thirteen",13,"θalaːθʕaːʃ","thalathas","","TRUE","3′+10′","borrowed from Arabic (Afro-Asiatic)",NA,"RE-GLOSSED","3′+10′","3+10","3+10",1,13,TRUE,"3+10"
"42633",27,"numerals-hars1241-1-fourteen-1","numerals-hars1241-1","Chan2019","fourteen",14,"ʔarbaʕatʕaʃir","arbaatasir","","TRUE","4+10′","borrowed from Arabic (Afro-Asiatic)",NA,"RE-GLOSSED","4+10′","4+10","4+10",1,14,TRUE,"4+10"
"42634",28,"numerals-hars1241-1-fourteen-2","numerals-hars1241-1","Chan2019","fourteen",14,"ʔarbaʕtaːʃ","arbatas","","TRUE","4+10′","borrowed from Arabic (Afro-Asiatic)",NA,"RE-GLOSSED","4+10′","4+10","4+10",1,14,TRUE,"4+10"
"42635",29,"numerals-hars1241-1-fifteen-1","numerals-hars1241-1","Chan2019","fifteen",15,"xamstʕaʃir","xamstasir","","TRUE","5+10′","borrowed from Arabic (Afro-Asiatic)",NA,"RE-GLOSSED","5+10′","5+10","5+10",1,15,TRUE,"5+10"
"42636",30,"numerals-hars1241-1-fifteen-2","numerals-hars1241-1","Chan2019","fifteen",15,"xamstʕaːʃ","xamstas","","TRUE","5+10′","borrowed from Arabic (Afro-Asiatic)",NA,"RE-GLOSSED","5+10′","5+10","5+10",1,15,TRUE,"5+10"
"42637",31,"numerals-hars1241-1-sixteen-1","numerals-hars1241-1","Chan2019","sixteen",16,"sittʕaʃir","sittasir","","TRUE","6′+10′","borrowed from Arabic (Afro-Asiatic)",NA,"RE-GLOSSED","6′+10′","6+10","6+10",1,16,TRUE,"6+10"
"42638",32,"numerals-hars1241-1-sixteen-2","numerals-hars1241-1","Chan2019","sixteen",16,"sittʕaːʃ","sittas","","TRUE","6′+10′","borrowed from Arabic (Afro-Asiatic)",NA,"RE-GLOSSED","6′+10′","6+10","6+10",1,16,TRUE,"6+10"
"42639",33,"numerals-hars1241-1-seventeen-1","numerals-hars1241-1","Chan2019","seventeen",17,"sabʕtaːʃ","sabtas","","TRUE","7′+10′","borrowed from Arabic (Afro-Asiatic)",NA,"RE-GLOSSED","7′+10′","7+10","7+10",1,17,TRUE,"7+10"
"42640",34,"numerals-hars1241-1-eighteen-1","numerals-hars1241-1","Chan2019","eighteen",18,"θamaːnt̩aːʕʃ","thamantas","","TRUE","8+10′","borrowed from Arabic (Afro-Asiatic)",NA,"RE-GLOSSED","8+10′","8+10","8+10",1,18,TRUE,"8+10"
"42641",35,"numerals-hars1241-1-nineteen-1","numerals-hars1241-1","Chan2019","nineteen",19,"tisaʕtaːʕʃ","tisatas","","TRUE","9′+10′","borrowed from Arabic (Afro-Asiatic)",NA,"RE-GLOSSED","9′+10′","9+10","9+10",1,19,TRUE,"9+10"
"42642",36,"numerals-hars1241-1-twenty-1","numerals-hars1241-1","Chan2019","twenty",20,"ʕiʃriːn","isrin","","TRUE","10′{PL}[⋅2]","borrowed from Arabic (Afro-Asiatic)","10′+10′′{PL}","RE-GLOSSED","10′[⋅2]","10⋅2","abs(10*2)",1,20,TRUE,"10⋅2"
"42643",37,"numerals-hars1241-1-twentyone-1","numerals-hars1241-1","Chan2019","twentyone",21,"waːħid wa-ʕiʃriːn","wahidwaisrin","","TRUE","1′+{and}(10′{PL}[⋅2])","borrowed from Arabic (Afro-Asiatic). Historically, 20 in Semitic was formed as 10 with a dual marker and the other decades as 3, 4 etc. with a plural marker (Brockelmann 1916: 119). However, the suffixes have been regularized leading to the synchronically confusing system where 20 vs. other decades seem to be formed with the same suffix but different operations.","1′+{+}10′+10′′{PL}","RE-GLOSSED","1′+(10′[⋅2])","1+10⋅2","1+abs(abs(10*2))",1,21,TRUE,"1+(10⋅2)"
"42644",38,"numerals-hars1241-1-twentytwo-1","numerals-hars1241-1","Chan2019","twentytwo",22,"ʔiθnajn wa-ʕiʃriːn","ithnajnwaisrin","","TRUE","2′+{and}(10′{PL}[⋅2])","borrowed from Arabic (Afro-Asiatic)","2′+{+}10′+10′′{PL}","RE-GLOSSED","2′+(10′[⋅2])","2+10⋅2","2+abs(abs(10*2))",1,22,TRUE,"2+(10⋅2)"
"42645",39,"numerals-hars1241-1-twentythree-1","numerals-hars1241-1","Chan2019","twentythree",23,"θalaːθ wa-ʕiʃriːn","thalathwaisrin","","TRUE","3′+{and}(10′{PL}[⋅2])","borrowed from Arabic (Afro-Asiatic)","3′+{+}10′+10′′{PL}","RE-GLOSSED","3′+(10′[⋅2])","3+10⋅2","3+abs(abs(10*2))",1,23,TRUE,"3+(10⋅2)"
"42646",40,"numerals-hars1241-1-twentyfour-1","numerals-hars1241-1","Chan2019","twentyfour",24,"ʔarbaʕ wa-ʕiʃriːn","arbawaisrin","","TRUE","4+{and}(10′{PL}[⋅2])","borrowed from Arabic (Afro-Asiatic)","4+{+}10′+10′′{PL}","RE-GLOSSED","4+(10′[⋅2])","4+10⋅2","4+abs(abs(10*2))",1,24,TRUE,"4+(10⋅2)"
"42647",41,"numerals-hars1241-1-twentyfive-1","numerals-hars1241-1","Chan2019","twentyfive",25,"xamsa wa-ʕiʃriːn","xamsawaisrin","","TRUE","5+{and}(10′{PL}[⋅2])","borrowed from Arabic (Afro-Asiatic)","5+{+}10′+10′′{PL}","RE-GLOSSED","5+(10′[⋅2])","5+10⋅2","5+abs(abs(10*2))",1,25,TRUE,"5+(10⋅2)"
"42648",42,"numerals-hars1241-1-twentysix-1","numerals-hars1241-1","Chan2019","twentysix",26,"sitta wa-ʕiʃriːn","sittawaisrin","","TRUE","6′+{and}(10′{PL}[⋅2])","borrowed from Arabic (Afro-Asiatic)","6′+{+}10′+10′′{PL}","RE-GLOSSED","6′+(10′[⋅2])","6+10⋅2","6+abs(abs(10*2))",1,26,TRUE,"6+(10⋅2)"
"42649",43,"numerals-hars1241-1-twentyseven-1","numerals-hars1241-1","Chan2019","twentyseven",27,"sabʕa wa-ʕiʃriːn","sabawaisrin","","TRUE","7′+{and}(10′{PL}[⋅2])","borrowed from Arabic (Afro-Asiatic)","7′+{+}10′+10′′{PL}","RE-GLOSSED","7′+(10′[⋅2])","7+10⋅2","7+abs(abs(10*2))",1,27,TRUE,"7+(10⋅2)"
"42650",44,"numerals-hars1241-1-twentyeight-1","numerals-hars1241-1","Chan2019","twentyeight",28,"θamaːn wa-ʕiʃriːn","thamanwaisrin","","TRUE","8+{and}(10′{PL}[⋅2])","borrowed from Arabic (Afro-Asiatic)","8+{+}10′+10′′{PL}","RE-GLOSSED","8+(10′[⋅2])","8+10⋅2","8+abs(abs(10*2))",1,28,TRUE,"8+(10⋅2)"
"42651",45,"numerals-hars1241-1-twentynine-1","numerals-hars1241-1","Chan2019","twentynine",29,"tisʕa wa-ʕiʃriːn","tisawaisrin","","TRUE","9′+{and}(10′{PL}[⋅2])","borrowed from Arabic (Afro-Asiatic)","9′+{+}10′+10′′{PL}","RE-GLOSSED","9′+(10′[⋅2])","9+10⋅2","9+abs(abs(10*2))",1,29,TRUE,"9+(10⋅2)"
"42652",46,"numerals-hars1241-1-thirty-1","numerals-hars1241-1","Chan2019","thirty",30,"θalaːθiːn","thalathin","","TRUE","3′{PL}[⋅10]","borrowed from Arabic (Afro-Asiatic)","3′⋅10′′{PL}","RE-GLOSSED","3′[⋅10]","3⋅10","abs(3*10)",1,30,TRUE,"3⋅10"
"42653",47,"numerals-hars1241-1-forty-1","numerals-hars1241-1","Chan2019","forty",40,"ʔarbiʕiːn","arbiin","","TRUE","4{PL}[⋅10]","borrowed from Arabic (Afro-Asiatic)","4⋅10′′{PL}","RE-GLOSSED","4[⋅10]","4⋅10","abs(4*10)",1,40,TRUE,"4⋅10"
"42654",48,"numerals-hars1241-1-fifty-1","numerals-hars1241-1","Chan2019","fifty",50,"xamsiːn","xamsin","","TRUE","5{PL}[⋅10]","borrowed from Arabic (Afro-Asiatic)","5⋅10′′{PL}","RE-GLOSSED","5[⋅10]","5⋅10","abs(5*10)",1,50,TRUE,"5⋅10"
"42655",49,"numerals-hars1241-1-sixty-1","numerals-hars1241-1","Chan2019","sixty",60,"sittiːn","sittin","","TRUE","6′{PL}[⋅10]","borrowed from Arabic (Afro-Asiatic)","6′⋅10′′{PL}","RE-GLOSSED","6′[⋅10]","6⋅10","abs(6*10)",1,60,TRUE,"6⋅10"
"42656",50,"numerals-hars1241-1-seventy-1","numerals-hars1241-1","Chan2019","seventy",70,"sabʕiːn","sabin","","TRUE","7′{PL}[⋅10]","borrowed from Arabic (Afro-Asiatic)","7′⋅10′′{PL}","RE-GLOSSED","7′[⋅10]","7⋅10","abs(7*10)",1,70,TRUE,"7⋅10"
"42657",51,"numerals-hars1241-1-eighty-1","numerals-hars1241-1","Chan2019","eighty",80,"θamaːniːn","thamanin","","TRUE","8{PL}[⋅10]","borrowed from Arabic (Afro-Asiatic)","8⋅10′′{PL}","RE-GLOSSED","8[⋅10]","8⋅10","abs(8*10)",1,80,TRUE,"8⋅10"
"42658",52,"numerals-hars1241-1-ninety-1","numerals-hars1241-1","Chan2019","ninety",90,"tisʕiːn","tisin","","TRUE","9′{PL}[⋅10]","borrowed from Arabic (Afro-Asiatic)","9′⋅10′′{PL}","RE-GLOSSED","9′[⋅10]","9⋅10","abs(9*10)",1,90,TRUE,"9⋅10"
"42659",53,"numerals-hars1241-1-hundred-1","numerals-hars1241-1","Chan2019","hundred",100,"mijɑt","mijat","","FALSE","100","borrowed from Arabic (Afro-Asiatic)",NA,"RE-GLOSSED","100","100","100",1,100,TRUE,"100"
"42660",54,"numerals-hars1241-1-twohundred-1","numerals-hars1241-1","Chan2019","twohundred",200,"mijatajn","mijatajn","","FALSE","100⋅[2]{DU}","borrowed from Arabic (Afro-Asiatic)",NA,"RE-GLOSSED","100⋅[2]","100⋅2","abs(100*2)",1,200,TRUE,"100⋅2"
"42661",55,"numerals-hars1241-1-thousand-1","numerals-hars1241-1","Chan2019","thousand",1000,"ʔɑlf","alf","","FALSE","1000","borrowed from Arabic (Afro-Asiatic)",NA,"RE-GLOSSED","1000","1000","1000",1,1000,TRUE,"1000"
"42662",56,"numerals-hars1241-1-twothousand-1","numerals-hars1241-1","Chan2019","twothousand",2000,"ʔɑlfɑjn","alfajn","","FALSE","1000⋅[2]{DU}","borrowed from Arabic (Afro-Asiatic)",NA,"RE-GLOSSED","1000⋅[2]","1000⋅2","abs(1000*2)",1,2000,TRUE,"1000⋅2"
"42663",1,"numerals-hoby1242-1-one-1","numerals-hoby1242-1","Chan2019","one",1,"tʼɑ:d","tad","(masculine)","FALSE","1{M}",NA,NA,"RE-GLOSSED","1","1","1",1,1,TRUE,"1"
"42664",2,"numerals-hoby1242-1-one-2","numerals-hoby1242-1","Chan2019","one",1,"tʼejt","tejt","( feminine)","FALSE","1{F}",NA,NA,"RE-GLOSSED","1","1","1",1,1,TRUE,"1"
"42665",3,"numerals-hoby1242-1-two-1","numerals-hoby1242-1","Chan2019","two",2,"θə'roh","tharoh","(masc.)","FALSE","2{M}",NA,NA,"RE-GLOSSED","2","2","2",1,2,TRUE,"2"
"42666",4,"numerals-hoby1242-1-two-2","numerals-hoby1242-1","Chan2019","two",2,"θereːt","theret","","FALSE","2{F}",NA,NA,"RE-GLOSSED","2","2","2",1,2,TRUE,"2"
"42667",5,"numerals-hoby1242-1-two-3","numerals-hoby1242-1","Chan2019","two",2,"θərit","tharit","(fem.)","FALSE","2{F}",NA,NA,"RE-GLOSSED","2","2","2",1,2,TRUE,"2"
"42668",6,"numerals-hoby1242-1-three-1","numerals-hoby1242-1","Chan2019","three",3,"ɬɑ:θejt","lathejt","(masc.)","FALSE","3{M}",NA,NA,"RE-GLOSSED","3","3","3",1,3,TRUE,"3"
"42669",7,"numerals-hoby1242-1-three-2","numerals-hoby1242-1","Chan2019","three",3,"ɬə'leθ","laleth","(masc.)","FALSE","3{M}",NA,NA,"RE-GLOSSED","3","3","3",1,3,TRUE,"3"
"42670",8,"numerals-hoby1242-1-three-3","numerals-hoby1242-1","Chan2019","three",3,"ħɑjneθ","hajneth","(fem.)","FALSE","3{F}",NA,NA,"RE-GLOSSED","3","3","3",1,3,TRUE,"3"
"42671",9,"numerals-hoby1242-1-four-1","numerals-hoby1242-1","Chan2019","four",4,"ʔarbɑ'ʕot","arbaot","(masc.)","FALSE","4{M}",NA,NA,"RE-GLOSSED","4","4","4",1,4,TRUE,"4"
"42672",10,"numerals-hoby1242-1-four-2","numerals-hoby1242-1","Chan2019","four",4,"ʔorbaʕ","orba","(fem.)","FALSE","4{F}",NA,NA,"RE-GLOSSED","4","4","4",1,4,TRUE,"4"
"42673",11,"numerals-hoby1242-1-five-1","numerals-hoby1242-1","Chan2019","five",5,"xəm'moh","xammoh","(masc.)","FALSE","5{M}",NA,NA,"RE-GLOSSED","5","5","5",1,5,TRUE,"5"
"42674",12,"numerals-hoby1242-1-five-2","numerals-hoby1242-1","Chan2019","five",5,"xɑːmeh","xameh","(fem.)","FALSE","5{F}",NA,NA,"RE-GLOSSED","5","5","5",1,5,TRUE,"5"
"42675",13,"numerals-hoby1242-1-six-1","numerals-hoby1242-1","Chan2019","six",6,"h'tajt","htajt","(masc.)","FALSE","6{M}",NA,NA,"RE-GLOSSED","6","6","6",1,6,TRUE,"6"
"42676",14,"numerals-hoby1242-1-six-2","numerals-hoby1242-1","Chan2019","six",6,"hə'tit","hatit","(masc.)","FALSE","6{M}",NA,NA,"RE-GLOSSED","6","6","6",1,6,TRUE,"6"
"42677",15,"numerals-hoby1242-1-six-3","numerals-hoby1242-1","Chan2019","six",6,"het","het","(fem.)","FALSE","6{F}",NA,NA,"RE-GLOSSED","6","6","6",1,6,TRUE,"6"
"42678",16,"numerals-hoby1242-1-seven-1","numerals-hoby1242-1","Chan2019","seven",7,"hebiʕɑːt","hebiat","","FALSE","7{M}",NA,NA,"RE-GLOSSED","7","7","7",1,7,TRUE,"7"
"42679",17,"numerals-hoby1242-1-seven-2","numerals-hoby1242-1","Chan2019","seven",7,"hebə'ʕotj","hebaotj","","FALSE","7{M}",NA,NA,"RE-GLOSSED","7","7","7",1,7,TRUE,"7"
"42680",18,"numerals-hoby1242-1-seven-3","numerals-hoby1242-1","Chan2019","seven",7,"hɔːbaʕ","hoba","(fem.)","FALSE","7{F}",NA,NA,"RE-GLOSSED","7","7","7",1,7,TRUE,"7"
"42681",19,"numerals-hoby1242-1-eight-1","numerals-hoby1242-1","Chan2019","eight",8,"θəməneːt","thamanet","(masc.)","FALSE","8{M}",NA,NA,"RE-GLOSSED","8","8","8",1,8,TRUE,"8"
"42682",20,"numerals-hoby1242-1-eight-2","numerals-hoby1242-1","Chan2019","eight",8,"θəmeːni","thameni","(fem.)","FALSE","8{F}",NA,NA,"RE-GLOSSED","8","8","8",1,8,TRUE,"8"
"42683",21,"numerals-hoby1242-1-nine-1","numerals-hoby1242-1","Chan2019","nine",9,"sɑ'ʕit","sait","(masc.)","FALSE","9{M}",NA,NA,"RE-GLOSSED","9","9","9",1,9,TRUE,"9"
"42684",22,"numerals-hoby1242-1-nine-2","numerals-hoby1242-1","Chan2019","nine",9,"soʕ","so","(fem.)","FALSE","9{F}",NA,NA,"RE-GLOSSED","9","9","9",1,9,TRUE,"9"
"42685",23,"numerals-hoby1242-1-ten-1","numerals-hoby1242-1","Chan2019","ten",10,"ʕɑɬi'rit","alirit","(masc.)","FALSE","10{M}",NA,NA,"RE-GLOSSED","10","10","10",1,10,TRUE,"10"
"42686",24,"numerals-hoby1242-1-ten-2","numerals-hoby1242-1","Chan2019","ten",10,"ʕɔːɬer","oler","(fem.)","FALSE","10{F}",NA,NA,"RE-GLOSSED","10","10","10",1,10,TRUE,"10"
"42687",25,"numerals-hoby1242-1-eleven-1","numerals-hoby1242-1","Chan2019","eleven",11,"ʕɑɬi'rit-tʼɑ:d","alirittad","","FALSE","10{M}+1{M}",NA,NA,"RE-GLOSSED","10+1","10+1","10+1",1,11,TRUE,"10+1"
"42688",26,"numerals-hoby1242-1-eleven-2","numerals-hoby1242-1","Chan2019","eleven",11,"ʕɔːɬer-i-tʼejt","oleritejt","","FALSE","10{F}+{+}1{F}",NA,NA,"RE-GLOSSED","10+1","10+1","10+1",1,11,TRUE,"10+1"
"42689",27,"numerals-hoby1242-1-twelve-1","numerals-hoby1242-1","Chan2019","twelve",12,"ʕɑɬi'rit-θə'roh","alirittharoh","","FALSE","10{M}+2{M}",NA,NA,"RE-GLOSSED","10+2","10+2","10+2",1,12,TRUE,"10+2"
"42690",29,"numerals-hoby1242-1-thirteen-1","numerals-hoby1242-1","Chan2019","thirteen",13,"ʕɑɬi'rit-ɬɑ:θejt","aliritlathejt","","FALSE","10{M}+3{M}",NA,NA,"RE-GLOSSED","10+3","10+3","10+3",1,13,TRUE,"10+3"
"42691",30,"numerals-hoby1242-1-thirteen-2","numerals-hoby1242-1","Chan2019","thirteen",13,"ʕɔːɬer-i-'ħɑjneθ","olerihajneth","","FALSE","10{F}+{+}3{F}",NA,NA,"RE-GLOSSED","10+3","10+3","10+3",1,13,TRUE,"10+3"
"42692",31,"numerals-hoby1242-1-fourteen-1","numerals-hoby1242-1","Chan2019","fourteen",14,"ʕɑɬi'rit-ʔarbɑ'ʕot","aliritarbaot","","FALSE","10{M}+4{M}",NA,NA,"RE-GLOSSED","10+4","10+4","10+4",1,14,TRUE,"10+4"
"42693",32,"numerals-hoby1242-1-fourteen-2","numerals-hoby1242-1","Chan2019","fourteen",14,"ʕɔːɬer-i-ʔorbaʕ","oleriorba","","FALSE","10{F}+{+}4{F}",NA,NA,"RE-GLOSSED","10+4","10+4","10+4",1,14,TRUE,"10+4"
"42694",33,"numerals-hoby1242-1-fifteen-1","numerals-hoby1242-1","Chan2019","fifteen",15,"ʕɑɬi'rit-xəm'moh","aliritxammoh","","FALSE","10{M}+5{M}",NA,NA,"RE-GLOSSED","10+5","10+5","10+5",1,15,TRUE,"10+5"
"42695",34,"numerals-hoby1242-1-fifteen-2","numerals-hoby1242-1","Chan2019","fifteen",15,"ʕɔːɬer-i-xɑːmeh","olerixameh","","FALSE","10{F}+{+}5{F}",NA,NA,"RE-GLOSSED","10+5","10+5","10+5",1,15,TRUE,"10+5"
"42696",35,"numerals-hoby1242-1-sixteen-1","numerals-hoby1242-1","Chan2019","sixteen",16,"ʕɑɬi'rit-h'tajt","alirithtajt","","FALSE","10{M}+6{M}",NA,NA,"RE-GLOSSED","10+6","10+6","10+6",1,16,TRUE,"10+6"
"42697",36,"numerals-hoby1242-1-sixteen-2","numerals-hoby1242-1","Chan2019","sixteen",16,"ʕɔːɬer-i-het","olerihet","","FALSE","10{F}+{+}6{F}",NA,NA,"RE-GLOSSED","10+6","10+6","10+6",1,16,TRUE,"10+6"
