"","X","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss","Glosser"
"105",23,"numerals-chau1259-1-twentyone-1","numerals-chau1259-1","Chan2019","twentyone",21,"nəsa tig","nasatig","","false","(2′⋅10′)[+]1","","20[+]1","RE-GLOSSED"
"106",24,"numerals-chau1259-1-twentytwo-1","numerals-chau1259-1","Chan2019","twentytwo",22,"nəsa nisi","nasanisi","","false","(2′⋅10′)[+]2","","20[+]2","RE-GLOSSED"
"107",25,"numerals-chau1259-1-twentythree-1","numerals-chau1259-1","Chan2019","twentythree",23,"nəsa sum","nasasum","","false","(2′⋅10′)[+]3","","20[+]3","RE-GLOSSED"
"108",26,"numerals-chau1259-1-twentyfour-1","numerals-chau1259-1","Chan2019","twentyfour",24,"nəsa pi","nasapi","","false","(2′⋅10′)[+]4","","20[+]4","RE-GLOSSED"
"109",27,"numerals-chau1259-1-twentyfive-1","numerals-chau1259-1","Chan2019","twentyfive",25,"nəsa ŋəi","nasangai","","false","(2′⋅10′)[+]5","","20[+]5","RE-GLOSSED"
"110",28,"numerals-chau1259-1-twentysix-1","numerals-chau1259-1","Chan2019","twentysix",26,"nəsa ʈug","nasatug","","false","(2′⋅10′)[+]6","","20[+]6","RE-GLOSSED"
"111",29,"numerals-chau1259-1-twentyseven-1","numerals-chau1259-1","Chan2019","twentyseven",27,"nəsa nis","nasanis","","false","(2′⋅10′)[+]7","","20[+]7","RE-GLOSSED"
"112",30,"numerals-chau1259-1-twentyeight-1","numerals-chau1259-1","Chan2019","twentyeight",28,"nəsa zyəd","nasazyad","","false","(2′⋅10′)[+]8","","20[+]8","RE-GLOSSED"
"113",31,"numerals-chau1259-1-twentynine-1","numerals-chau1259-1","Chan2019","twentynine",29,"nəsa ɡui","nasagui","","false","(2′⋅10′)[+]9","","20[+]9","RE-GLOSSED"
"114",32,"numerals-chau1259-1-thirty-1","numerals-chau1259-1","Chan2019","thirty",30,"sum-sa","sumsa","","false","3⋅10′","","","RE-GLOSSED"
"115",33,"numerals-chau1259-1-forty-1","numerals-chau1259-1","Chan2019","forty",40,"pi-sa","pisa","","false","4⋅10′","","","RE-GLOSSED"
"116",34,"numerals-chau1259-1-fifty-1","numerals-chau1259-1","Chan2019","fifty",50,"ŋasa","ngasa","","false","5⋅10′","","","RE-GLOSSED"
"117",35,"numerals-chau1259-1-fifty-2","numerals-chau1259-1","Chan2019","fifty",50,"pisa-ci","pisaci","( 40 + 10)","false","(4⋅10′)[+]10","","","RE-GLOSSED"
"118",36,"numerals-chau1259-1-sixty-1","numerals-chau1259-1","Chan2019","sixty",60,"ʈikcha","tikcha","","false","6′′⋅10′","","","RE-GLOSSED"
"119",37,"numerals-chau1259-1-seventy-1","numerals-chau1259-1","Chan2019","seventy",70,"nis-sa","nissa","","false","7⋅10′","","","RE-GLOSSED"
"120",38,"numerals-chau1259-1-eighty-1","numerals-chau1259-1","Chan2019","eighty",80,"zyədcha","zyadcha","","false","8⋅10′","","","RE-GLOSSED"
"121",39,"numerals-chau1259-1-ninety-1","numerals-chau1259-1","Chan2019","ninety",90,"zyəccha-ci","zyacchaci","( 80 + 10)","false","(8⋅10′)[+]10","","","RE-GLOSSED"
"122",40,"numerals-chau1259-1-hundred-1","numerals-chau1259-1","Chan2019","hundred",100,"səi","sai","< from Indo-Aryan","true","100","borrowed from Indo-Aryan (Indo-European)","","RE-GLOSSED"
"123",41,"numerals-chau1259-1-twohundred-1","numerals-chau1259-1","Chan2019","twohundred",200,"nisi səi","nisisai","","false","2[⋅]100","<səi> ‘hundred’ borrowed from Indo-Aryan (Indo-European)","","RE-GLOSSED"
"124",42,"numerals-chau1259-1-thousand-1","numerals-chau1259-1","Chan2019","thousand",1000,"toŋ","tong","","false","1000","","","RE-GLOSSED"
"125",43,"numerals-chau1259-1-thousand-2","numerals-chau1259-1","Chan2019","thousand",1000,"həzar","hazar","< from Indo-Aryan","true","1000′","borrowed from Indo-Iranian (Indo-European)","","RE-GLOSSED"
"126",44,"numerals-chau1259-1-twothousand-1","numerals-chau1259-1","Chan2019","twothousand",2000,"do həzar","dohazar","","false","2[⋅]1000′","<həzar> ‘thousand’ borrowed from Indo-Iranian (Indo-European)","","RE-GLOSSED"
"127",1,"numerals-muya1239-1-one-1","numerals-muya1239-1","Chan2019","one",1,"tʌ55-","t55",NA,"false","1","",NA,"RE-GLOSSED"
"128",2,"numerals-muya1239-1-one-1","numerals-muya1239-1","Chan2019","one",1,"tʌ55-lø33","t55lo33",NA,"false","1{CLF}","",NA,"RE-GLOSSED"
"129",4,"numerals-muya1239-1-two-2","numerals-muya1239-1","Chan2019","two",2,"nə55=","na55",NA,"false","2′","",NA,"RE-GLOSSED"
"130",5,"numerals-muya1239-1-two-2","numerals-muya1239-1","Chan2019","two",2,"nə55=zɛ33","na55ze33",NA,"false","2′{CLF}","",NA,"RE-GLOSSED"
"131",6,"numerals-muya1239-1-three-1","numerals-muya1239-1","Chan2019","three",3,"sɔ̠55=","so55",NA,"false","3","",NA,"RE-GLOSSED"
"132",7,"numerals-muya1239-1-three-1","numerals-muya1239-1","Chan2019","three",3,"sɔ̠55=lø33","so55lo33",NA,"false","3{CLF}","",NA,"RE-GLOSSED"
"133",8,"numerals-muya1239-1-four-1","numerals-muya1239-1","Chan2019","four",4,"ʐʌ55=","z55",NA,"false","4","",NA,"RE-GLOSSED"
