glottocode,Parameter_ID,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
land1256,eighteen,pù də kəcʌ̀ntᵊ̀ mʌ̀sas ʌ,pudakacntmsas,,FALSE,10+{and}5+{and}3,,
land1256,nineteen,pù də kəcʌ̀ntᵊ mànkᵊlɛ yʌ,pudakacntmankley,,FALSE,10+{and}5+{and}4,,
land1256,twenty,pu mʌ̀rəŋ,pumrang,,FALSE,10·{CL}2,,
land1256,twentyone,pu mʌ̀rəŋ də tìn ʌ,pumrangdatin,,FALSE,(10·{CL}2)+{and}1,,
land1256,twentytwo,pu mʌ̀rəŋ də mʌ̀rəŋ ʌ,pumrangdamrang,,FALSE,(10·{CL}2)+{and}2,,
land1256,twentythree,pu mʌ̀rəŋ də mʌ̀sas ʌ,pumrangdamsas,,FALSE,(10·{CL}2)+{and}3,,
land1256,twentyfour,pu mʌ̀rəŋ də mànkᵊlɛ ʌ,pumrangdamankle,,FALSE,(10·{CL}2)+{and}4,,
land1256,twentyfive,pu mʌ̀rəŋ də kəcàmət ʌ,pumrangdakacamat,,FALSE,(10·{CL}2)+{and}5,,
land1256,twentysix,pu mʌ̀rəŋ də kəcʌ̀ntin ʌ,pumrangdakacntin,,FALSE,(10·{CL}2)+{and}5+1,,
land1256,twentyseven,pu mʌ̀rəŋ də kəcʌ̀ntᵊ mʌ̀rəŋ ʌ,pumrangdakacntmrang,,FALSE,(10·{CL}2)+{and}5+2,,
land1256,twentyeight,pu mʌ̀rəŋ də kəcʌ̀ntᵊ̀ mʌ̀sas ʌ,pumrangdakacntmsas,,FALSE,(10·{CL}2)+{and}5+3,,
land1256,twentynine,pu mʌ̀rəŋ də kəcʌ̀ntᵊ mànkᵊlɛ yʌ,pumrangdakacntmankley,,FALSE,(10·{CL}2)+{and}5+4,,
land1256,thirty,pu mʌ̀sas,pumsas,,FALSE,10·{CL}3,,
land1256,forty,pu mànkᵊlɛ,pumankle,,FALSE,10·{CL}4,,
land1256,fifty,pu kəcàmət,pukacamat,,FALSE,10·{CL}5,,
land1256,sixty,pu kəcʌ̀ntin,pukacntin,,FALSE,10·{CL}5+1,,
land1256,seventy,pu kəcʌ̀ntᵊ mʌ̀rəŋ,pukacntmrang,,FALSE,10·{CL}5+2,,
land1256,eighty,pu kəcʌ̀ntᵊ mʌ̀sas̀,pukacntmsas,,FALSE,10·{CL}5+3,,
land1256,ninety,pu kəcʌ̀ntᵊ mànkᵊlɛ,pukacntmankle,,FALSE,10·{CL}5+4,,
land1256,hundred,kɛmɛ,keme,,FALSE,100,,
land1256,twohundred,kɛmɛ mʌ̀rəŋ,kememrang,,FALSE,100·2,,
land1256,thousand,wulᵊ win,wulwin,,FALSE,100·1,,
land1256,twothousand,wulᵊ mʌ̀rəŋ,wulmrang,,FALSE,100·{CL}2,,
sher1258,one,bul,bul,,FALSE,1,,
sher1258,two,tɪŋ,ting,,FALSE,2,,
sher1258,three,ræ,rae,,FALSE,3,,
sher1258,four,hyo̠l,hyol,(  o̠ = French ''au'' in ''aube'),FALSE,4,,
sher1258,five,mɛn,men,,FALSE,5,,
sher1258,six,mɛn-buk,menbuk,( 5 + 1 ),FALSE,5+1,,
sher1258,seven,mɛn-tɪŋ,menting,( 5 + 2 ),FALSE,5+2,,
sher1258,eight,mɛn-ra,menra,( 5 + 3 ),FALSE,5+3,,
sher1258,nine,mɛn-hyo̠l,menhyol,( 5 + 4 ),FALSE,5+4,,
sher1258,ten,wāŋ,wang,,FALSE,10,,
sher1258,eleven,wāŋ ni bul,wangnibul,,FALSE,10+{and}1,,
sher1258,twelve,wāŋ ni tɪŋ,wangniting,?,FALSE,10+{and}2,,
sher1258,thirteen,wāŋ ni ræ,wangnirae,?,FALSE,10+{and}3,,
sher1258,fourteen,wāŋ ni hyo̠l,wangnihyol,?,FALSE,10+{and}4,,
sher1258,fifteen,wāŋ ni mɛn,wangnimen,,FALSE,10+{and}5,,
sher1258,sixteen,wāŋ ni mɛn-buk,wangnimenbuk,?,FALSE,10+{and}5+1,,
sher1258,seventeen,wāŋ ni mɛn-tɪŋ,wangnimenting,?,FALSE,10+{and}5+2,,
sher1258,eighteen,wāŋ ni mɛn-ra,wangnimenra,?,FALSE,10+{and}5+3,,
sher1258,nineteen,wāŋ ni mɛn-hyo̠l,wangnimenhyol,?,FALSE,10+{and}5+4,,
sher1258,twenty,kwono̠,kwono,( < koŋ õ no̠ ),FALSE,20,,
sher1258,twentyone,kwono ni bul,kwononibul,?,FALSE,20+{and}1,,
sher1258,thirty,kwono̠ ni wāŋ,kwononiwang,( 20 + 10 ),FALSE,,,
sher1258,forty,kwono̠ aña tɪŋ,kwonoanating,( 20 x  2 ),FALSE,20·2,,
sher1258,fifty,kwono̠ aña tɪŋ ni wāŋ,kwonoanatingniwang,,FALSE,,,
sher1258,sixty,kwono̠ ræ,kwonorae,,FALSE,20·3,,
sher1258,seventy,kwono̠ ræ ni bul,kwonoraenibul,,FALSE,,,
sher1258,eighty,kwono̠ hyo̠l,kwonohyol,,FALSE,20·4,,
sher1258,ninety,kwono̠ hyo̠l ni bul,kwonohyolnibul,,FALSE,,,
sher1258,hundred,ho̠ndrɛ̠d,hondred,( < English ''hundred'' ),TRUE,100,,English loan
sher1258,twohundred,ho̠ndrɛ̠d tɪŋ,hondredting,,FALSE,100·2,,
sher1258,thousand,tawsin,tawsin,( < English ''thousand'' ),TRUE,1000,,English loan
sher1258,twothousand,tawsin tɪŋ,tawsinting,,FALSE,1000·2,,
sout2778,one,pìlɛ̀ɛ́,pilee,,FALSE,1,,
sout2778,two,mùúŋ,muung,,FALSE,2,,
sout2778,three,ŋɡàá,nggaa,,FALSE,3,,
sout2778,four,hìɔ́ɔ́lú,hioolu,,FALSE,4,4,
sout2778,five,ŋùɛ̀ɛ́nú,ngueenu,,FALSE,5,,
sout2778,six,ŋǒmpûm,ngompum,( 5 + 1 ),FALSE,5+1’,,
sout2778,seven,ŋǒmɛ́ú,ngomeu,( 5 + 2 ),FALSE,5+2’,,
sout2778,eight,ŋǒmáá,ngomaa,( 5 + 3 ),FALSE,5+3’,,
